x,y,phenotype,dataset
-4.7950954,7.8677554,Diseased,26
15.189708,-1.5403152,Diseased,26
-4.155257,13.645993,Diseased,26
12.285465,0.15013842,Diseased,26
4.0532045,18.97365,Control,81
14.726192,1.3315384,Diseased,26
15.034072,16.600975,Diseased,26
3.9982066,18.909557,Diseased,26
14.444531,0.3215906,Diseased,26
-5.226827,6.20517,Control,81
15.349847,1.6511074,Diseased,26
16.020115,0.57174665,Diseased,26
-0.29426306,18.244478,Diseased,26
14.830357,0.39218825,Diseased,26
13.840229,-0.036913663,Diseased,26
-1.0786862,16.976213,Diseased,26
-0.47683316,14.892503,Diseased,26
14.881017,-1.0787392,Diseased,26
15.616511,0.33299655,Diseased,26
-3.680049,1.2296644,Diseased,26
12.53666,-0.1885532,Diseased,26
4.8853927,17.550566,Control,81
15.115484,-0.32188457,Diseased,26
-4.98678,7.7863483,Diseased,26
15.848119,-0.09610781,Diseased,26
13.708556,-1.1620315,Diseased,26
-0.5670415,17.639544,Diseased,26
11.598133,-1.5257454,Diseased,26
-4.288632,13.08257,Diseased,26
14.104199,-1.426306,Diseased,26
15.0920925,16.659607,Diseased,26
2.442517,15.981464,Diseased,26
14.563595,1.6387194,Diseased,26
2.736849,14.756911,Diseased,26
-4.6796427,9.293331,Diseased,26
-2.8597975,13.403418,Diseased,26
-4.136357,1.565635,Diseased,26
3.7256722,17.396288,Diseased,26
-3.6855128,1.2372905,Diseased,26
13.440772,1.5567544,Diseased,26
13.190295,-1.4414289,Diseased,26
14.643656,-1.0270083,Diseased,26
3.6179037,17.39725,Control,81
16.065851,0.46568388,Diseased,26
14.1626425,-1.1709049,Diseased,26
4.1555667,16.205599,Diseased,26
12.896203,-1.7846142,Diseased,26
3.5028942,17.371881,Diseased,26
0.7471268,19.59223,Diseased,26
12.877964,-1.1340472,Diseased,26
12.768566,-0.15392122,Diseased,26
11.63473,-0.36308244,Diseased,26
3.436856,11.953063,Diseased,48
-0.1512486,18.55992,Diseased,26
13.501248,-0.7915314,Diseased,26
3.141803,8.067968,Diseased,26
13.648291,0.84732556,Diseased,26
11.836094,-1.2369763,Diseased,26
-1.6829089,12.022044,Diseased,26
13.488371,-1.0092933,Diseased,26
13.110674,-0.65140486,Diseased,26
14.260068,1.2646201,Diseased,26
-4.082049,15.25925,Diseased,26
1.1641157,17.946516,Diseased,26
1.6558658,17.801191,Diseased,26
16.183434,0.13481298,Diseased,26
1.3814659,19.209543,Control,81
0.5253102,16.138945,Diseased,26
14.289976,-0.030190468,Diseased,26
-0.67981666,19.016846,Diseased,26
13.676141,1.7551999,Diseased,26
13.354318,-0.8364636,Diseased,26
13.536756,-1.1418886,Diseased,26
16.050734,-0.92860883,Diseased,26
13.206333,1.5512605,Diseased,26
14.710395,-1.4021052,Diseased,26
12.4802065,-1.6398584,Diseased,26
13.589813,-0.4708659,Diseased,26
14.221206,-1.2054548,Diseased,26
14.700106,-1.5498534,Diseased,26
15.057931,16.624949,Diseased,26
12.066108,0.46412,Diseased,26
-0.96858704,17.767641,Diseased,26
11.079659,0.035085566,Diseased,26
3.8097844,14.911914,Control,81
3.428406,18.813232,Control,81
15.258383,0.5429323,Diseased,26
13.611829,0.7463908,Diseased,26
0.5394343,18.141521,Diseased,26
-2.6011674,0.20041536,Diseased,26
-2.8326035,13.509489,Diseased,26
14.183646,-2.066732,Diseased,26
14.459402,-2.5925357,Diseased,26
14.507746,-0.5781301,Diseased,26
12.812473,1.6929551,Diseased,26
-2.3451564,0.35761866,Diseased,26
13.497713,-1.4000188,Diseased,26
-2.7664645,11.815971,Diseased,26
12.782685,2.2444222,Diseased,26
13.528638,1.2442719,Diseased,26
14.78191,-0.3610374,Diseased,26
3.6844676,13.789936,Diseased,26
3.2994227,9.942372,Diseased,20
13.865938,0.7787749,Diseased,26
5.472893,14.859336,Control,81
12.311958,-2.2356815,Diseased,26
3.8060744,11.72231,Diseased,52
0.36509368,19.266949,Diseased,26
3.143756,15.075556,Diseased,26
5.3724422,13.345742,Diseased,26
-1.9421196,13.722278,Diseased,26
11.478388,-0.3864778,Diseased,26
15.839082,0.7023444,Diseased,26
13.241967,1.8200892,Diseased,26
12.783595,-0.14410597,Diseased,26
1.5732937,18.987629,Control,81
14.315429,-0.7279172,Diseased,26
-0.11812093,0.45453513,Diseased,26
13.029367,-0.20198233,Diseased,26
13.463873,0.79650086,Diseased,26
12.151027,0.12662257,Diseased,26
12.285968,1.2992247,Diseased,26
13.807285,-0.26008928,Diseased,26
14.95196,-0.96743596,Diseased,26
-4.9294167,2.171928,Diseased,26
12.942427,1.679563,Diseased,26
3.3268783,17.770855,Diseased,26
-8.237223,3.2218502,Diseased,26
14.042759,-0.9340905,Diseased,26
13.968422,-2.7813034,Diseased,26
13.479787,-0.66260254,Diseased,26
16.048302,-0.14408173,Diseased,26
12.109236,0.46359798,Diseased,26
-5.675542,2.1177242,Diseased,26
5.887903,15.882736,Control,81
-4.7583323,13.904917,Control,81
5.196617,14.470196,Diseased,26
14.753803,-1.2124933,Diseased,26
15.714923,0.108278714,Diseased,26
-1.3805621,1.4073209,Diseased,26
14.110804,-0.19728045,Diseased,26
15.2976,0.7007613,Diseased,26
3.1280906,15.214781,Diseased,26
14.915343,0.8792883,Diseased,26
-1.048234,0.32821873,Diseased,26
-2.0377522,0.46383864,Diseased,26
