x,y,phenotype,dataset
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-55.88926,-25.779934,Diseased,26
35.51252,62.3186,Diseased,26
-27.452188,37.09858,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
38.189564,60.901585,Diseased,26
15.025379,-15.580225,Diseased,26
-30.908953,52.991768,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-54.574814,19.680237,Diseased,26
58.02438,26.843771,Diseased,20
15.025379,-15.580225,Diseased,26
-70.23257,21.647175,Control,81
15.025379,-15.580225,Diseased,26
18.153763,67.04762,Diseased,52
-62.512486,-34.134884,Diseased,26
-55.23026,9.768355,Diseased,26
-74.154785,31.452894,Diseased,26
-33.169197,39.023396,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-65.34621,-28.71146,Control,81
15.025379,-15.580225,Diseased,26
48.431553,70.6182,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
30.352873,44.510994,Diseased,26
15.025379,-15.580225,Diseased,26
-70.69411,-6.611497,Diseased,26
2.1948466,73.85809,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
22.869446,39.09201,Diseased,26
-77.33162,18.504427,Control,81
-4.2791343,45.439747,Control,81
-67.35131,22.888275,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
50.043552,56.817566,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-55.40276,9.171956,Diseased,26
15.025379,-15.580225,Diseased,26
47.39959,64.48176,Diseased,26
41.04991,60.734932,Diseased,26
49.724804,57.57685,Diseased,26
-66.398705,0.6655866,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
36.54708,54.67001,Diseased,26
15.025379,-15.580225,Diseased,26
-35.698055,17.888367,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
15.025379,-15.580225,Diseased,26
-26.362131,21.82424,Diseased,26
-37.056297,46.673317,Diseased,26
23.55273,37.64681,Diseased,26
-20.402231,65.763374,Diseased,26
